sample	is_target_pos	n_seg	copy_ratio	cn_abs_median	cn_abs_max	cn_abs_min	conf	max_neglog10p
A269010002	TRUE	25	1.274	2.353	4.205	1.839	37.34	100
A269010003	TRUE	25	1.039	2.073	2.772	1.737	8.23	69.33
A269010004	TRUE	25	0.963	1.979	2.194	1.351	8.4	100
A269010005	FALSE	25	1.002	1.999	2.094	1.923	0.37	1.37
A269010006	FALSE	25	1.003	2.001	2.157	1.901	0.51	1.5
A269010007	FALSE	25	1.002	2.014	2.07	1.924	0.43	1.34
A269010009	FALSE	25	1.007	2.016	2.111	1.874	0.47	1.28
A269010010	FALSE	25	1.001	1.993	2.117	1.888	0.46	1.4
A269010011	FALSE	25	0.989	1.978	2.032	1.809	0.44	1.46
