sample	gene	is_target_pos	n_segments	copy_ratio	confidence
A269010002	MET	TRUE	25	1.2740340780962	37.3414778415522
A269010002	EGFR	TRUE	29	1.1169691369709	18.3797399750171
A269010002	Other	TRUE	1376	1.03470695394498	11.9733954781968
A269010002	DDR2	TRUE	7	0.873729057300927	10.8089533869547
A269010002	TSC2	TRUE	42	1.01783282461601	7.36393688138916
A269010002	MDM2	TRUE	13	0.931933431787448	5.26036799985533
A269010002	FGFR3	TRUE	16	1.00714496586036	4.37348836241589
A269010002	CCND1	TRUE	5	1.05961471226016	4.31823105053756
A269010002	CREBBP	TRUE	45	1.00753739753503	4.26624185313414
A269010002	PTEN	TRUE	9	1.10099777473634	3.61923145876598
A269010002	ERBB2	TRUE	27	0.993743887523402	2.49991043822689
A269010002	NTRK1	TRUE	8	0.934983753836256	2.06802687775171
A269010002	NBN	TRUE	17	0.98239255153459	1.88348360932308
A269010002	CDK4	TRUE	7	0.993494638144716	1.45904890152976
A269010002	RET	TRUE	12	1.04279214345525	1.16779272340296
A269010002	GATA3	TRUE	7	1.01051475164861	0.848125996884206
A269010003	MDM2	TRUE	13	2.18858667872486	68.2630291824288
A269010003	PTEN	TRUE	9	0.945853824988369	13.7883240158315
A269010003	MET	TRUE	25	1.03907248198955	8.22576336102336
A269010003	Other	TRUE	1376	0.997034004751969	6.36397424260399
A269010003	EGFR	TRUE	29	1.02186663654111	5.03583417531543
A269010003	TSC2	TRUE	42	1.01123068286067	4.39535637415989
A269010003	FGFR3	TRUE	16	0.991737862193763	3.93817079883928
A269010003	GATA3	TRUE	7	0.905198852726651	3.65901529914643
A269010003	NBN	TRUE	17	0.975891506687039	3.05742554641139
A269010003	NTRK1	TRUE	8	0.980216655645061	2.18327270288613
A269010003	ERBB2	TRUE	27	0.988239089156747	1.6172708662239
A269010003	DDR2	TRUE	7	0.940768651755019	1.60292879020516
A269010003	CCND1	TRUE	5	0.940708128390334	1.52228472378231
A269010003	CREBBP	TRUE	45	0.999622026817642	1.45357088654093
A269010003	CDK4	TRUE	7	1.05761365975606	1.36032106550124
A269010003	RET	TRUE	12	1.00248358149972	0.846121423812575
A269010004	MET	TRUE	25	0.96269032310081	8.40086462925574
A269010004	EGFR	TRUE	29	0.94135445139368	7.6692195669841
A269010004	DDR2	TRUE	7	0.895668113271827	5.82971606618416
A269010004	MDM2	TRUE	13	0.973457190559795	5.65707330209883
A269010004	Other	TRUE	1376	0.999349904971132	4.70920270733506
A269010004	TSC2	TRUE	42	0.996273726222337	4.61935200468579
A269010004	CCND1	TRUE	5	1.04877763133725	2.57824235961699
A269010004	ERBB2	TRUE	27	0.994386346575639	1.82995433231967
A269010004	PTEN	TRUE	9	1.02506144908296	1.77379724209052
A269010004	FGFR3	TRUE	16	1.02248099936616	1.63938953558729
A269010004	NTRK1	TRUE	8	0.956670514202619	1.52005193599661
A269010004	NBN	TRUE	17	0.993067824565638	1.51616501137135
A269010004	CREBBP	TRUE	45	0.997560687224338	1.33921803861943
A269010004	GATA3	TRUE	7	1.00164706453227	1.00209182981406
A269010004	RET	TRUE	12	1.02393445290388	0.721281983005604
A269010004	CDK4	TRUE	7	0.973405632830864	0.500564214360734
A269010005	DDR2	FALSE	7	0.951228349236156	0.831005941070438
A269010005	RET	FALSE	12	0.962868762564849	0.823034389025388
A269010005	CCND1	FALSE	5	0.938415413637636	0.774550425832777
A269010005	TSC2	FALSE	42	1.01040858625561	0.688305243161863
A269010005	GATA3	FALSE	7	0.954090836102062	0.67064728628157
A269010005	FGFR3	FALSE	16	0.981734003907349	0.633058153375503
A269010005	EGFR	FALSE	29	0.98453245508989	0.588230885001601
A269010005	CREBBP	FALSE	45	1.00048771684991	0.555211025810239
A269010005	NTRK1	FALSE	8	0.973982930922328	0.529751625636433
A269010005	CDK4	FALSE	7	0.998043860134517	0.48005351145148
A269010005	NBN	FALSE	17	0.995588172258242	0.471078967795002
A269010005	Other	FALSE	1376	1.00755760246999	0.453223711525628
A269010005	PTEN	FALSE	9	1.03324780299202	0.389540983729691
A269010005	MET	FALSE	25	1.00151635287568	0.37110982702123
A269010005	MDM2	FALSE	13	1.02341417201356	0.367385899466719
A269010005	ERBB2	FALSE	27	1.01105627098497	0.356371854685247
A269010006	EGFR	FALSE	29	0.9700872674842	0.698165417616804
A269010006	GATA3	FALSE	7	1.03658277818775	0.605375399834443
A269010006	CDK4	FALSE	7	0.992954122555455	0.580855695491476
A269010006	ERBB2	FALSE	27	1.00383525425567	0.545249624787595
A269010006	NTRK1	FALSE	8	0.975759699357235	0.527756484427859
A269010006	NBN	FALSE	17	1.0428629877486	0.516057465889215
A269010006	MET	FALSE	25	1.00307948339404	0.509257586433362
A269010006	RET	FALSE	12	1.03665120589637	0.50554344480908
A269010006	Other	FALSE	1376	1.00704419408722	0.487582959527166
A269010006	FGFR3	FALSE	16	1.00139407073377	0.476535083598316
A269010006	TSC2	FALSE	42	1.00241189490715	0.474048407845336
A269010006	CREBBP	FALSE	45	1.00330048903994	0.455206638926873
A269010006	CCND1	FALSE	5	0.966831829428448	0.433895418259079
A269010006	MDM2	FALSE	13	0.988964071551851	0.313302851753336
A269010006	PTEN	FALSE	9	1.01393893747687	0.303816779905451
A269010006	DDR2	FALSE	7	0.997337164025573	0.0834640558453829
A269010007	CCND1	FALSE	5	1.08090259703082	0.641409054335388
A269010007	MDM2	FALSE	13	0.972378846895837	0.599360761319554
A269010007	CDK4	FALSE	7	1.06236292979553	0.567531230133938
A269010007	NBN	FALSE	17	1.00537727325187	0.520311632411886
A269010007	NTRK1	FALSE	8	1.0252951483867	0.510686617192151
A269010007	ERBB2	FALSE	27	0.990761584026614	0.465261474037159
A269010007	MET	FALSE	25	1.00212180274486	0.426020189318391
A269010007	Other	FALSE	1376	1.00010219489564	0.412873222940125
A269010007	DDR2	FALSE	7	1.008390178572	0.390383718276098
A269010007	RET	FALSE	12	0.991252116065474	0.375398516456809
A269010007	CREBBP	FALSE	45	0.998358924460398	0.366795552379136
A269010007	PTEN	FALSE	9	0.977930540485459	0.339944707159221
A269010007	TSC2	FALSE	42	0.997096660975306	0.330690748806619
A269010007	FGFR3	FALSE	16	1.01614231341853	0.316462508730381
A269010007	EGFR	FALSE	29	1.00944700775238	0.299684168933674
A269010007	GATA3	FALSE	7	1.02569748066149	0.264399487883698
A269010009	PTEN	FALSE	9	0.945198318243128	0.777156685718101
A269010009	GATA3	FALSE	7	1.0104887968112	0.527123363954321
A269010009	ERBB2	FALSE	27	0.997307735045586	0.504757083705717
A269010009	CREBBP	FALSE	45	1.00096094283085	0.487548144026222
A269010009	MET	FALSE	25	1.00700716421949	0.468232232618876
A269010009	Other	FALSE	1376	1.01010418840591	0.436140636548501
A269010009	MDM2	FALSE	13	0.981328717447098	0.420318656513507
A269010009	DDR2	FALSE	7	0.988168714234845	0.417628660079125
A269010009	TSC2	FALSE	42	0.99772512761888	0.415427542051088
A269010009	EGFR	FALSE	29	1.01775916947406	0.379714977871554
A269010009	FGFR3	FALSE	16	1.01032789875217	0.37769473347682
A269010009	CDK4	FALSE	7	0.978221870047454	0.369802400164218
A269010009	RET	FALSE	12	1.02594137617322	0.361495269517051
