sample	gene	is_MET_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010002	CCND1	TRUE	5	1.03310598458964	1.04912042984903	1.12327458402198	1.01357916460651	2.06621196917929	2.09824085969807	2.24654916804395	2.02715832921302	0.0603303873280331	1.21946388645407
A269010002	CDK4	TRUE	7	0.865573925073139	0.858035487814326	1.04619209956722	0.73007500125768	1.73114785014628	1.71607097562865	2.09238419913445	1.46015000251536	0.251359645857568	0.599704444184323
A269010002	CREBBP	TRUE	29	0.874842889997755	0.924267336538947	1.38881762748165	0.724549680319186	1.74968577999551	1.84853467307789	2.77763525496329	1.44909936063837	9.80406536057823e-13	12.0085938021075
A269010002	DDR2	TRUE	7	0.701101162103088	0.716429028326452	0.823510157912966	0.650687891497675	1.40220232420618	1.4328580566529	1.64702031582593	1.30137578299535	2.04133581276906e-15	14.6900855451928
A269010002	EGFR	TRUE	29	1.14023051211088	1.16492189200006	1.49645554189629	0.876475346785857	2.28046102422176	2.32984378400012	2.99291108379257	1.75295069357171	6.59356269534459e-80	79.1808798599373
A269010002	ERBB2	TRUE	21	0.740419966976855	0.776372124960376	1.03612392245364	0.571532870045811	1.48083993395371	1.55274424992075	2.07224784490728	1.14306574009162	7.0846457261792e-20	19.1496818621437
A269010002	FGFR3	TRUE	16	1.06713680179349	1.06085935831265	1.24663023794432	0.773738490445966	2.13427360358698	2.12171871662529	2.49326047588864	1.54747698089193	0.00247478261889377	2.6064629428157
A269010002	GATA3	TRUE	7	1.0093677979443	0.999693355553681	1.1111775463189	0.880926818325612	2.0187355958886	1.99938671110736	2.2223550926378	1.76185363665122	0.0681642806062852	1.16644314439577
A269010002	MDM2	TRUE	13	0.911274883227897	0.919472561818175	1.0317701346728	0.800461576977428	1.82254976645579	1.83894512363635	2.06354026934559	1.60092315395486	7.11535948086633e-16	15.1478031536805
A269010002	MET	TRUE	25	1.61176455492095	1.66357259319739	2.13024367035564	1.37406442272966	3.22352910984191	3.32714518639478	4.26048734071127	2.74812884545932	1e-100	100
