sample	is_MET_pos	seg_idx	gene	cn_rel	cn_abs	pval
A269010002	TRUE	1367	MET	1.47057462617309	2.94114925234618	1.71759992024869e-07
A269010002	TRUE	1368	MET	1.65081331104813	3.30162662209626	6.83143727561302e-06
A269010002	TRUE	1369	MET	1.48511693495815	2.9702338699163	0.000461789573024499
A269010002	TRUE	1370	MET	1.42141858385448	2.84283716770896	0.00195510444759445
A269010002	TRUE	1371	MET	1.42548490160893	2.85096980321786	1.30764578826222e-05
A269010002	TRUE	1372	MET	1.54112381682226	3.08224763364453	1.25073944646396e-08
A269010002	TRUE	1373	MET	1.57004520017029	3.14009040034057	2.52539923007814e-16
A269010002	TRUE	1374	MET	1.90054327548808	3.80108655097616	4.77010656763825e-46
A269010002	TRUE	1375	MET	1.61176455492095	3.22352910984191	1.87821176835884e-06
A269010002	TRUE	1376	MET	1.51270607967542	3.02541215935083	3.28445189722827e-38
A269010002	TRUE	1377	MET	1.75499042316829	3.50998084633657	4.19040468640911e-08
A269010002	TRUE	1378	MET	1.49398317543751	2.98796635087502	2.88392111996125e-37
A269010002	TRUE	1379	MET	1.91059954429856	3.82119908859713	4.30493903275958e-55
A269010002	TRUE	1380	MET	1.47502764316721	2.95005528633442	8.54562179491114e-17
A269010002	TRUE	1381	MET	2.13024367035564	4.26048734071127	2.84943520178503e-80
A269010002	TRUE	1382	MET	1.75829700594523	3.51659401189045	2.55965257748153e-81
A269010002	TRUE	1383	MET	1.76074344175993	3.52148688351987	1.70078481780688e-19
A269010002	TRUE	1384	MET	1.37406442272966	2.74812884545932	1.17922317585189e-12
A269010002	TRUE	1385	MET	1.49344808511483	2.98689617022967	4.97193504055035e-16
A269010002	TRUE	1386	MET	1.90108928425626	3.80217856851252	2.60831357681802e-21
A269010002	TRUE	1387	MET	1.8968923804485	3.793784760897	2.71931360117314e-24
A269010002	TRUE	1388	MET	1.8385396805417	3.67707936108339	2.43683930666316e-39
A269010002	TRUE	1389	MET	1.71515252224488	3.43030504448976	8.67316772613564e-47
A269010002	TRUE	1390	MET	1.90637124222611	3.81274248445221	9.31622278041394e-95
A269010002	TRUE	1391	MET	1.59028102352061	3.18056204704122	1e-100
A269010003	TRUE	1367	MET	1.00455538123089	2.00911076246178	0.940945696543159
A269010003	TRUE	1368	MET	1.01597932130739	2.03195864261478	0.857559926999603
A269010003	TRUE	1369	MET	0.976180299323215	1.95236059864643	0.793630695993326
A269010003	TRUE	1370	MET	1.02457149756467	2.04914299512933	0.802188767931394
A269010003	TRUE	1371	MET	1.04544635098099	2.09089270196197	0.525551308423355
A269010003	TRUE	1372	MET	1.0333553357083	2.0667106714166	0.600747756592146
A269010003	TRUE	1373	MET	1.04893802881007	2.09787605762014	0.292373489948181
A269010003	TRUE	1374	MET	1.20156792617443	2.40313585234887	4.57179742649557e-07
A269010003	TRUE	1375	MET	0.992569660500645	1.98513932100129	0.92510903190701
A269010003	TRUE	1376	MET	1.02365169287779	2.04730338575558	0.37828943226599
A269010003	TRUE	1377	MET	1.10127323718062	2.20254647436124	0.241202991401129
A269010003	TRUE	1378	MET	1.06838762320158	2.13677524640315	0.0135323454011011
