sample	is_MET_pos	n_seg	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010002	TRUE	25	3.22352910984191	3.32714518639478	4.26048734071127	2.74812884545932	1e-100	100
A269010003	TRUE	25	2.09089270196197	2.138118201325	2.68322889235425	1.74998174365916	8.58895882460525e-20	19.0660594792578
A269010004	TRUE	25	1.92924566080833	1.86081859545029	2.09715696351117	1.38417817076465	5.44253143732875e-57	56.2641990536936
A269010005	FALSE	25	2.01256869704183	2.04359579399576	2.31650347031624	1.8574081321086	0.142978406123216	0.844729548616596
A269010006	FALSE	25	2.01875942776966	2.01206960055662	2.16544133329406	1.89454270389407	0.0465337827094294	1.33223164243646
A269010007	FALSE	25	2.0152077835528	2.00971011299797	2.09296450207308	1.92377212856087	0.250972027278487	0.600374681210543
A269010009	FALSE	25	2.09337743598011	2.09660121322127	2.2395803680068	1.93468618389461	0.125303835447504	0.902035635404945
A269010010	FALSE	25	1.95399014064111	1.94028003705651	2.10615480356259	1.75872422137771	0.0782617757215645	1.10645030239333
A269010011	FALSE	25	1.92529996056156	1.92647103671042	2.03742247057343	1.81456995812839	0.0775874655995107	1.11020843416264
