sample	MET_copy	MET_conf	ERBB2_copy	ERBB2_conf	EGFR_copy	EGFR_conf
positive (MET~2.75x, ERBB2~4.75x amp)	1.31	18.27	2.212	75.58	0.987	0.74
negative (held-out normal)	1.02	0.42	0.959	0.93	1.045	0.61
