sample	gene	is_target_pos	n_segments	copy_ratio	confidence
A269010002	DDR2	FALSE	7	0.762814184096191	1.24394321097497
A269010002	GATA3	FALSE	7	1.13679179537686	1.19370755170994
A269010002	CCND1	FALSE	5	1.0711219003441	1.06294678897303
A269010002	MET	FALSE	25	1.25075738154906	1.05423293193081
A269010002	PTEN	FALSE	9	1.11591115722546	0.969506249411614
A269010002	NBN	FALSE	17	1.06624843010214	0.868885656572817
A269010002	RET	FALSE	12	1.07301411703092	0.846863874300155
A269010002	ERBB2	FALSE	27	0.987455979956472	0.839333748868168
A269010002	NTRK1	FALSE	8	0.855051803883403	0.798443273828205
A269010002	EGFR	FALSE	29	1.04661583422277	0.791538141374216
A269010002	TSC2	FALSE	42	0.958508144896183	0.774108434660955
A269010002	Other	FALSE	1376	1.03397295862471	0.74686778170628
A269010002	CREBBP	FALSE	45	1.01126496515453	0.660831760630618
A269010002	FGFR3	FALSE	16	0.986981804269283	0.524119894996238
A269010002	MDM2	FALSE	13	0.842787034141176	0.468510884953846
A269010002	CDK4	FALSE	7	1.08646847820613	0.344753853199773
A269010003	MDM2	FALSE	13	1.61563776809874	1.19927042701279
A269010003	CDK4	FALSE	7	0.799024028290094	1.15321902536211
A269010003	TSC2	FALSE	42	1.04293416835404	0.721975533244937
A269010003	CREBBP	FALSE	45	0.998631231607856	0.351820248614958
A269010003	Other	FALSE	1376	0.994013583500822	0.336865708318139
A269010003	MET	FALSE	25	0.935823598063327	0.289436017541124
A269010003	PTEN	FALSE	9	0.961518590040654	0.27762201702205
A269010003	NTRK1	FALSE	8	0.931751514857226	0.268233672697306
A269010003	ERBB2	FALSE	27	1.00375450833318	0.255074779827891
A269010003	NBN	FALSE	17	0.99670349218452	0.238272610405842
A269010003	GATA3	FALSE	7	0.979641022060936	0.230745606395548
A269010003	RET	FALSE	12	0.995942389597102	0.228494169080654
A269010003	CCND1	FALSE	5	1.00429515676339	0.211666505688504
A269010003	EGFR	FALSE	29	0.995459231553911	0.186700302631478
A269010003	FGFR3	FALSE	16	0.996317158851783	0.174009663679688
A269010003	DDR2	FALSE	7	1.01165719347295	0.0551617555080675
A269010004	FGFR3	FALSE	16	1.03967010349033	0.739994226041342
A269010004	RET	FALSE	12	0.987414772370094	0.480215808003071
A269010004	CREBBP	FALSE	45	0.995169381440966	0.399937734299356
A269010004	EGFR	FALSE	29	0.984025603564408	0.393472034974369
A269010004	Other	FALSE	1376	1.07283976713013	0.387311046681219
A269010004	CCND1	FALSE	5	0.978022187309333	0.384542432908638
A269010004	ERBB2	FALSE	27	0.993551863543416	0.303163377153201
A269010004	CDK4	FALSE	7	1.10293148580868	0.294711060123703
A269010004	MDM2	FALSE	13	0.887370913223549	0.292589822109999
A269010004	GATA3	FALSE	7	0.979729407602149	0.257687345954095
A269010004	NBN	FALSE	17	0.985475134394551	0.244844481030846
A269010004	PTEN	FALSE	9	0.993605830710831	0.230036012905518
A269010004	TSC2	FALSE	42	1.005642616257	0.149331512535341
A269010004	DDR2	FALSE	7	1.05125189297819	0.115432350592154
A269010004	MET	FALSE	25	1.01455496780849	0.110401584949721
A269010004	NTRK1	FALSE	8	0.981423213807764	0.0894347116684409
A269010005	NBN	TRUE	17	2.35737764432475	70.445049705731
A269010005	CREBBP	TRUE	45	0.858211586655695	59.763254722418
A269010005	ERBB2	TRUE	27	1.41301294978111	48.033413790791
A269010005	EGFR	TRUE	29	0.860821575370449	36.272831284561
A269010005	RET	TRUE	12	0.809462492733548	35.2737042154721
A269010005	TSC2	TRUE	42	0.769334371915606	32.0283917559263
A269010005	Other	TRUE	1376	1.02261112910715	21.4500925259809
A269010005	PTEN	TRUE	9	1.10445471022252	8.04374650157784
A269010005	FGFR3	TRUE	16	0.917864053640773	4.93110155766061
A269010005	CCND1	TRUE	5	0.988671392163643	4.02744400010782
