sample	is_target_pos	seg_idx	gene	cn_rel	cn_abs	pval
A269010002	FALSE	534	ERBB2	1.2650755886754	2.5301511773508	0.0812854961056647
A269010002	FALSE	535	ERBB2	0.931813174067781	1.86362634813556	0.0807477129030286
A269010002	FALSE	536	ERBB2	1.02600130299661	2.05200260599322	0.260281405115234
A269010002	FALSE	537	ERBB2	0.87361287818585	1.7472257563717	0.105423715738484
A269010002	FALSE	538	ERBB2	1.09171831424339	2.18343662848678	0.0809322330291243
A269010002	FALSE	539	ERBB2	0.934894133330013	1.86978826666003	0.095279932039507
A269010002	FALSE	540	ERBB2	0.964111249384027	1.92822249876805	0.142670661546291
A269010002	FALSE	541	ERBB2	0.894789913707381	1.78957982741476	0.0951734759137683
A269010002	FALSE	542	ERBB2	1.04752040230692	2.09504080461384	0.0845948667033087
A269010002	FALSE	543	ERBB2	0.891054580761009	1.78210916152202	0.0886541327415827
A269010002	FALSE	544	ERBB2	0.983853116656767	1.96770623331353	0.198741930152271
A269010002	FALSE	545	ERBB2	0.902644536523891	1.80528907304778	0.0872753744425964
A269010002	FALSE	546	ERBB2	0.955299411762069	1.91059882352414	0.106901457775586
A269010002	FALSE	547	ERBB2	0.913530448230726	1.82706089646145	0.0991672307614386
A269010002	FALSE	548	ERBB2	0.84498101468509	1.68996202937018	0.0878905946837523
A269010002	FALSE	549	ERBB2	1.03409969474332	2.06819938948664	0.158704333684374
A269010002	FALSE	550	ERBB2	1.02588718003989	2.05177436007978	0.0989743046870837
A269010002	FALSE	551	ERBB2	1.091950257522	2.183900515044	0.0858512628470791
A269010002	FALSE	552	ERBB2	0.853180893014111	1.70636178602822	0.0825047873568495
A269010002	FALSE	553	ERBB2	0.926345998036607	1.85269199607321	0.0825509986561324
A269010002	FALSE	554	ERBB2	1.01040805804415	2.0208161160883	0.175888757543738
A269010002	FALSE	555	ERBB2	0.896365307814156	1.79273061562831	0.0816294884301665
A269010002	FALSE	556	ERBB2	0.959663595804619	1.91932719160924	0.300528483967153
A269010002	FALSE	557	ERBB2	0.958931524576069	1.91786304915214	0.106946704224899
A269010002	FALSE	558	ERBB2	0.899510935525039	1.79902187105008	0.0846850179385213
