sample	gene	is_target_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010002	CCND1	FALSE	5	1.08243523103193	1.08794856747876	1.13076216053953	1.05812197802014	2.16487046206386	2.17589713495751	2.26152432107905	2.11624395604028	0.0865575712414528	1.06269493813438
A269010002	CDK4	FALSE	7	1.29699622016748	1.18826520749048	1.39018505466886	0.716800591493245	2.59399244033496	2.37653041498095	2.78037010933771	1.43360118298649	0.0990395857082618	1.0041911850141
A269010002	CREBBP	FALSE	45	1.02484070450841	1.02622149844429	1.21674487473413	0.900756942394241	2.04968140901683	2.05244299688858	2.43348974946826	1.80151388478848	0.0766308660065414	1.11559626644727
A269010002	DDR2	FALSE	7	0.729661510983616	0.729814985027531	0.830920847131217	0.66830551552516	1.45932302196723	1.45962997005506	1.66184169426243	1.33661103105032	0.0829423716664512	1.08122355051376
A269010002	EGFR	FALSE	29	1.05370982317489	1.06960732173392	1.28728857256416	0.894020183783335	2.10741964634977	2.13921464346784	2.57457714512832	1.78804036756667	0.0750314943020701	1.12475640420049
A269010002	ERBB2	FALSE	27	0.958931524576069	0.971724405463462	1.2650755886754	0.84498101468509	1.91786304915214	1.94344881092692	2.5301511773508	1.68996202937018	0.0807477129030286	1.09286976977285
A269010002	FGFR3	FALSE	16	0.955079164365882	0.961685646276758	1.12342000677981	0.7751143906255	1.91015832873176	1.92337129255352	2.24684001355961	1.550228781251	0.0875126413483644	1.05792920787718
A269010002	GATA3	FALSE	7	1.15892367199458	1.15765045569808	1.23507460430974	1.06903189702136	2.31784734398917	2.31530091139615	2.47014920861947	2.13806379404271	0.0743910090573435	1.128479550378
A269010002	MDM2	FALSE	13	0.807168472872395	0.833750038452627	0.920553409451152	0.777919952463195	1.61433694574479	1.66750007690525	1.8411068189023	1.55583990492639	0.199166002392436	0.700784793590436
A269010002	MET	FALSE	19	1.22029167633623	1.26165535691415	1.51372378441832	1.10559905403963	2.44058335267245	2.5233107138283	3.02744756883664	2.21119810807926	0.0839586994259344	1.07593429753741
A269010002	NBN	FALSE	17	1.08943057783451	1.10930287938051	1.41274030722471	0.98846426813597	2.17886115566903	2.21860575876101	2.82548061444942	1.97692853627194	0.0805016985778133	1.09419495596519
